brand,category,material,retailer,season,rating,discount_percent,original_price,current_price,date_scraped
Marks & Spencer,Jacket,Leather,Lifestyle,Winter,4.8,15,15788.93,13420.59,2025-10-24
Puma,Coat,Polyester,Ajio,Winter,3.9,25,3208.7,2406.52,2025-10-24
Athena,Coat,Polyester,Reliance Trends,Spring,4.0,15,1844.25,1567.61,2025-10-24
HRX,Skirt,Wool,Shoppers Stop,Winter,3.5,0,778.73,778.73,2025-10-24
Zara,T-Shirt,Denim,Lifestyle,Spring,4.4,30,2519.05,1763.34,2025-10-24
Calvin Klein,Jeans,Cotton,Ajio,Spring,4.5,25,6398.46,4798.84,2025-10-24
W for Woman,Blazer,Blend,Flipkart,Summer,4.0,15,3220.31,2737.27,2025-10-24
Peter England,Blazer,Wool,Westside,All-Season,4.0,20,2757.14,2205.72,2025-10-24
Peter England,Polo,Silk,Amazon India,All-Season,3.5,10,1143.16,1028.85,2025-10-24
Calvin Klein,Jeans,Leather,Myntra,All-Season,4.3,20,5245.81,4196.65,2025-10-24
Breakbounce,Pants,Linen,Myntra,All-Season,4.0,25,2195.13,1646.35,2025-10-24
Tommy Hilfiger,Polo,Viscose,Myntra,Summer,4.3,15,4478.61,3806.82,2025-10-24
Breakbounce,Hoodie,Leather,Shoppers Stop,Winter,4.0,40,2740.29,1644.17,2025-10-24
Marks & Spencer,Hoodie,Silk,Flipkart,Summer,4.5,20,5945.34,4756.27,2025-10-24
Levi's,Jacket,Blend,Flipkart,All-Season,4.5,40,6241.86,3745.12,2025-10-24
Mast & Harbour,Jeans,Silk,Reliance Trends,Monsoon,3.9,20,1639.15,1311.32,2025-10-24
Adidas,T-Shirt,Synthetic,Reliance Trends,All-Season,4.0,60,1337.27,534.91,2025-10-24
Adidas,Blazer,Silk,Lifestyle,Monsoon,3.9,10,12635.29,11371.76,2025-10-24
Athena,Jacket,Cotton,Reliance Trends,Winter,3.7,20,1871.66,1497.33,2025-10-24
Calvin Klein,Pants,Polyester,Reliance Trends,Winter,4.6,30,6615.36,4630.75,2025-10-24
Breakbounce,Skirt,Denim,Flipkart,Winter,3.5,40,1556.53,933.92,2025-10-24
AND,Pants,Linen,Ajio,Summer,3.8,40,2721.25,1632.75,2025-10-24
Athena,Hoodie,Synthetic,Shoppers Stop,Winter,3.6,0,544.74,544.74,2025-10-24
Vero Moda,T-Shirt,Polyester,Flipkart,Spring,4.0,10,909.98,818.98,2025-10-24
Breakbounce,Coat,Silk,Reliance Trends,Summer,3.9,10,3862.87,3476.59,2025-10-24
H&M,Jacket,Denim,Ajio,Winter,3.8,15,1983.78,1686.22,2025-10-24
W for Woman,Shirt,Synthetic,Ajio,Winter,4.0,10,1272.48,1145.24,2025-10-24
Allen Solly,Pants,Wool,Ajio,All-Season,4.5,15,2268.31,1928.07,2025-10-24
W for Woman,Skirt,Synthetic,Ajio,Winter,3.7,25,1376.22,1032.17,2025-10-24
US Polo Assn,Pants,Linen,Amazon India,Monsoon,3.9,20,1672.86,1338.28,2025-10-24
Zara,Dress,Synthetic,Shoppers Stop,Winter,4.8,50,6013.39,3006.7,2025-10-24
Only,Jacket,Wool,Westside,All-Season,4.2,20,4427.74,3542.19,2025-10-24
Mast & Harbour,Polo,Leather,Max Fashion,Spring,3.8,20,721.9,577.52,2025-10-24
Puma,Polo,Denim,Max Fashion,All-Season,3.4,10,566.25,509.62,2025-10-24
Adidas,Coat,Denim,Westside,Spring,3.4,30,5411.61,3788.13,2025-10-24
Allen Solly,Dress,Silk,Amazon India,Winter,4.3,20,2005.65,1604.52,2025-10-24
Puma,Blazer,Synthetic,Max Fashion,Monsoon,3.6,15,2253.92,1915.83,2025-10-24
Breakbounce,Dress,Blend,Flipkart,Summer,4.0,10,1821.96,1639.77,2025-10-24
Nike,Chinos,Denim,Amazon India,All-Season,3.4,0,2189.76,2189.76,2025-10-24
Raymond,Pants,Linen,Myntra,Spring,4.8,30,3120.63,2184.44,2025-10-24
Breakbounce,Polo,Leather,Reliance Trends,All-Season,3.4,25,1712.23,1284.17,2025-10-24
Raymond,Dress,Cotton,Lifestyle,Summer,4.2,15,8056.22,6847.79,2025-10-24
Louis Philippe,Jacket,Denim,Reliance Trends,Summer,4.7,30,5282.81,3697.97,2025-10-24
Marks & Spencer,Sweater,Wool,Reliance Trends,All-Season,4.9,50,6510.46,3255.23,2025-10-24
Wrogn,Hoodie,Cotton,Shoppers Stop,Monsoon,3.6,20,1321.78,1057.43,2025-10-24
Mast & Harbour,Jacket,Cotton,Reliance Trends,Monsoon,3.9,15,1691.92,1438.13,2025-10-24
US Polo Assn,Pants,Denim,Myntra,All-Season,4.0,25,2050.32,1537.74,2025-10-24
Puma,Skirt,Blend,Max Fashion,Spring,3.8,30,2267.16,1587.02,2025-10-24
Tommy Hilfiger,Blazer,Linen,Myntra,Spring,4.1,15,5676.22,4824.78,2025-10-24
Breakbounce,Dress,Viscose,Westside,Monsoon,3.6,20,2396.4,1917.12,2025-10-24
Peter England,Skirt,Silk,Reliance Trends,Spring,3.6,50,3421.51,1710.76,2025-10-24
HRX,Chinos,Synthetic,Ajio,Winter,3.9,30,1735.93,1215.15,2025-10-24
Only,Polo,Silk,Shoppers Stop,All-Season,3.7,10,1478.19,1330.37,2025-10-24
Roadster,Chinos,Synthetic,Flipkart,All-Season,3.9,0,418.21,418.21,2025-10-24
AND,Jeans,Linen,Flipkart,Monsoon,4.0,40,3894.18,2336.51,2025-10-24
Levi's,Shirt,Denim,Reliance Trends,All-Season,4.5,0,1388.92,1388.92,2025-10-24
Louis Philippe,Blazer,Linen,Lifestyle,Spring,4.5,15,5176.77,4400.25,2025-10-24
Wrogn,Hoodie,Polyester,Westside,Spring,4.1,25,1509.36,1132.02,2025-10-24
Mast & Harbour,Hoodie,Silk,Max Fashion,Spring,4.2,30,926.38,648.47,2025-10-24
Forever New,Chinos,Silk,Flipkart,All-Season,3.8,15,1584.95,1347.21,2025-10-24
Adidas,Dress,Blend,Flipkart,Winter,4.0,20,2774.31,2219.45,2025-10-24
Forever New,Dress,Blend,Myntra,Monsoon,3.8,50,5798.68,2899.34,2025-10-24
HRX,Chinos,Viscose,Shoppers Stop,Summer,3.4,15,1200.03,1020.02,2025-10-24
Wrogn,Pants,Synthetic,Lifestyle,Summer,3.5,40,1307.56,784.53,2025-10-24
HRX,Chinos,Wool,Amazon India,Winter,4.1,25,1214.19,910.64,2025-10-24
Wrogn,Polo,Synthetic,Flipkart,Winter,3.7,25,661.62,496.21,2025-10-24
Flying Machine,Polo,Denim,Myntra,Winter,3.9,40,1135.03,681.02,2025-10-24
AND,Pants,Silk,Amazon India,All-Season,3.7,15,3070.79,2610.17,2025-10-24
Calvin Klein,Coat,Wool,Lifestyle,Winter,4.3,0,12378.61,12378.61,2025-10-24
H&M,Jacket,Viscose,Reliance Trends,Spring,4.0,30,3131.47,2192.03,2025-10-24
Forever New,Shirt,Silk,Amazon India,All-Season,4.0,50,4167.98,2083.99,2025-10-24
Allen Solly,Dress,Denim,Lifestyle,Monsoon,4.5,25,3330.33,2497.75,2025-10-24
Calvin Klein,Dress,Polyester,Ajio,Spring,4.7,15,7805.76,6634.89,2025-10-24
Athena,Blazer,Silk,Shoppers Stop,Spring,3.9,40,4964.13,2978.48,2025-10-24
Levi's,Coat,Silk,Max Fashion,Spring,4.0,40,8539.83,5123.9,2025-10-24
W for Woman,Polo,Denim,Lifestyle,Winter,4.2,20,1184.67,947.73,2025-10-24
Levi's,Chinos,Polyester,Lifestyle,All-Season,3.9,0,2930.15,2930.15,2025-10-24
Being Human,Blazer,Polyester,Amazon India,Winter,3.8,40,4597.3,2758.38,2025-10-24
Marks & Spencer,Blazer,Synthetic,Max Fashion,Spring,4.6,50,7364.61,3682.3,2025-10-24
Tommy Hilfiger,T-Shirt,Denim,Amazon India,Monsoon,4.2,70,6289.36,1886.81,2025-10-24
Being Human,Jeans,Polyester,Myntra,All-Season,3.6,25,1755.79,1316.84,2025-10-24
AND,T-Shirt,Synthetic,Max Fashion,Winter,3.5,50,595.0,297.5,2025-10-24
Flying Machine,Hoodie,Cotton,Lifestyle,Monsoon,3.6,50,1184.82,592.41,2025-10-24
Roadster,Dress,Denim,Westside,Monsoon,3.4,15,864.99,735.24,2025-10-24
Forever New,Chinos,Cotton,Lifestyle,Monsoon,3.5,0,2814.63,2814.63,2025-10-24
Roadster,Blazer,Blend,Westside,Monsoon,3.4,40,1865.98,1119.59,2025-10-24
Allen Solly,T-Shirt,Cotton,Ajio,All-Season,4.2,30,1146.37,802.46,2025-10-24
Vero Moda,Shirt,Blend,Shoppers Stop,Monsoon,3.9,30,2614.22,1829.95,2025-10-24
Wrogn,Jacket,Synthetic,Lifestyle,Summer,4.2,0,2155.85,2155.85,2025-10-24
Nike,Hoodie,Polyester,Flipkart,Winter,4.0,15,2136.23,1815.8,2025-10-24
Athena,Dress,Wool,Max Fashion,Summer,3.7,50,3624.23,1812.12,2025-10-24
Puma,Blazer,Denim,Reliance Trends,Winter,3.8,40,5901.4,3540.84,2025-10-24
Being Human,Chinos,Blend,Ajio,All-Season,3.8,20,1587.63,1270.11,2025-10-24
Flying Machine,T-Shirt,Blend,Reliance Trends,All-Season,3.6,60,1127.76,451.11,2025-10-24
Puma,Dress,Silk,Lifestyle,Summer,3.9,25,4732.35,3549.26,2025-10-24
Wrogn,Skirt,Polyester,Ajio,All-Season,4.0,30,1560.82,1092.57,2025-10-24
Only,T-Shirt,Viscose,Flipkart,Spring,3.7,60,2134.56,853.82,2025-10-24
Only,Sweater,Viscose,Myntra,Monsoon,3.7,25,996.34,747.26,2025-10-24
Adidas,Jacket,Blend,Myntra,Winter,3.5,30,5598.74,3919.12,2025-10-24
Calvin Klein,Pants,Silk,Amazon India,Spring,4.8,15,7706.23,6550.3,2025-10-24
AND,Dress,Cotton,Ajio,All-Season,3.8,15,4130.61,3511.02,2025-10-24
Being Human,Hoodie,Silk,Westside,Winter,4.2,70,4911.53,1473.46,2025-10-24
Calvin Klein,Sweater,Viscose,Lifestyle,Summer,4.3,10,2785.84,2507.26,2025-10-24
Louis Philippe,Blazer,Viscose,Myntra,Spring,4.3,60,8111.13,3244.45,2025-10-24
Van Heusen,Pants,Viscose,Ajio,All-Season,4.6,10,2016.11,1814.5,2025-10-24
Allen Solly,Jacket,Silk,Ajio,Summer,4.4,40,5878.9,3527.34,2025-10-24
Athena,Coat,Wool,Amazon India,All-Season,3.7,50,3582.42,1791.21,2025-10-24
Only,Pants,Linen,Westside,Winter,3.8,25,3874.44,2905.83,2025-10-24
Being Human,Hoodie,Linen,Myntra,Summer,4.1,20,1351.5,1081.2,2025-10-24
Athena,Chinos,Viscose,Lifestyle,Summer,4.1,10,695.84,626.26,2025-10-24
Wrogn,Shirt,Viscose,Reliance Trends,Spring,3.7,20,912.19,729.76,2025-10-24
Wrogn,Pants,Cotton,Ajio,Summer,3.5,25,2173.23,1629.92,2025-10-24
Tommy Hilfiger,Jeans,Denim,Max Fashion,Monsoon,4.4,0,3378.92,3378.92,2025-10-24
Puma,Sweater,Polyester,Ajio,Spring,3.7,15,3315.86,2818.48,2025-10-24
Athena,Skirt,Linen,Flipkart,Winter,3.5,10,726.03,653.42,2025-10-24
Nike,Hoodie,Viscose,Lifestyle,Winter,3.9,30,3252.8,2276.96,2025-10-24
Flying Machine,Jeans,Leather,Max Fashion,Monsoon,3.7,15,1574.97,1338.72,2025-10-24
W for Woman,Chinos,Viscose,Reliance Trends,Winter,4.1,25,1871.8,1403.85,2025-10-24
Vero Moda,Hoodie,Wool,Flipkart,Summer,3.5,20,2800.95,2240.76,2025-10-24
Roadster,Pants,Leather,Westside,Spring,3.9,25,1760.69,1320.52,2025-10-24
Nike,Pants,Blend,Flipkart,All-Season,3.7,15,4077.28,3465.69,2025-10-24
W for Woman,Chinos,Silk,Westside,Spring,3.9,70,9056.7,2717.01,2025-10-24
Mast & Harbour,Dress,Silk,Flipkart,Spring,4.2,20,1348.77,1079.02,2025-10-24
Adidas,Coat,Wool,Reliance Trends,Monsoon,3.6,20,8248.07,6598.46,2025-10-24
AND,Blazer,Denim,Lifestyle,Spring,3.5,25,2959.96,2219.97,2025-10-24
Allen Solly,Sweater,Denim,Reliance Trends,Summer,4.4,15,2129.1,1809.74,2025-10-24
Flying Machine,Skirt,Denim,Westside,Summer,3.6,40,1642.55,985.53,2025-10-24
Zara,Sweater,Viscose,Shoppers Stop,Monsoon,4.7,30,6537.97,4576.58,2025-10-24
Mast & Harbour,Jacket,Leather,Westside,Winter,3.7,20,2864.67,2291.73,2025-10-24
Nike,T-Shirt,Denim,Myntra,Summer,3.5,20,2554.78,2043.82,2025-10-24
Wrogn,Hoodie,Silk,Ajio,All-Season,3.6,60,3097.91,1239.16,2025-10-24
Levi's,Polo,Linen,Shoppers Stop,Spring,3.9,0,2879.48,2879.48,2025-10-24
AND,Skirt,Cotton,Lifestyle,Winter,3.8,25,3171.39,2378.54,2025-10-24
Flying Machine,Dress,Synthetic,Shoppers Stop,Summer,3.6,10,953.01,857.71,2025-10-24
Van Heusen,Chinos,Cotton,Flipkart,Monsoon,4.1,50,3720.17,1860.08,2025-10-24
Raymond,Pants,Synthetic,Ajio,All-Season,4.5,40,4532.16,2719.3,2025-10-24
Raymond,Coat,Synthetic,Max Fashion,Spring,4.5,0,3088.45,3088.45,2025-10-24
AND,Jacket,Synthetic,Lifestyle,All-Season,3.6,15,2599.42,2209.51,2025-10-24
AND,Coat,Blend,Ajio,Spring,4.1,20,1762.86,1410.29,2025-10-24
Flying Machine,Sweater,Viscose,Lifestyle,All-Season,3.9,40,1854.76,1112.85,2025-10-24
Levi's,Shirt,Linen,Shoppers Stop,Spring,4.7,30,3210.11,2247.08,2025-10-24
Only,Chinos,Synthetic,Lifestyle,All-Season,3.4,40,1262.73,757.64,2025-10-24
Breakbounce,Jeans,Polyester,Westside,Spring,4.1,0,1965.05,1965.05,2025-10-24
Mast & Harbour,T-Shirt,Silk,Max Fashion,All-Season,4.1,15,579.95,492.95,2025-10-24
Raymond,Dress,Blend,Max Fashion,Summer,4.6,20,1672.04,1337.63,2025-10-24
Marks & Spencer,Pants,Leather,Max Fashion,All-Season,4.6,20,6554.19,5243.35,2025-10-24
W for Woman,Jeans,Blend,Lifestyle,All-Season,3.6,30,2975.9,2083.13,2025-10-24
Tommy Hilfiger,Hoodie,Linen,Westside,All-Season,4.1,10,5580.99,5022.89,2025-10-24
AND,T-Shirt,Blend,Ajio,Spring,3.6,30,727.74,509.42,2025-10-24
Levi's,Jeans,Synthetic,Lifestyle,Monsoon,4.2,20,4547.94,3638.35,2025-10-24
Allen Solly,T-Shirt,Wool,Reliance Trends,All-Season,4.5,20,1435.69,1148.55,2025-10-24
Vero Moda,Shirt,Synthetic,Shoppers Stop,Summer,4.2,60,5778.47,2311.39,2025-10-24
US Polo Assn,Dress,Viscose,Max Fashion,All-Season,3.8,15,1451.33,1233.63,2025-10-24
Van Heusen,Hoodie,Synthetic,Westside,All-Season,4.2,10,894.95,805.45,2025-10-24
Wrogn,Hoodie,Viscose,Lifestyle,Winter,3.4,10,574.42,516.97,2025-10-24
Marks & Spencer,Pants,Linen,Lifestyle,Monsoon,4.6,10,6756.27,6080.64,2025-10-24
Calvin Klein,Blazer,Cotton,Myntra,Monsoon,4.1,0,6954.1,6954.1,2025-10-24
W for Woman,Sweater,Wool,Myntra,Winter,3.7,10,1940.99,1746.89,2025-10-24
Flying Machine,Dress,Leather,Shoppers Stop,All-Season,3.9,25,1927.68,1445.76,2025-10-24
Marks & Spencer,Jacket,Polyester,Flipkart,Spring,4.3,30,4883.69,3418.58,2025-10-24
AND,Blazer,Synthetic,Ajio,Winter,4.0,60,8660.32,3464.13,2025-10-24
H&M,Coat,Blend,Westside,Monsoon,3.7,15,3360.18,2856.15,2025-10-24
Peter England,T-Shirt,Polyester,Westside,Winter,4.1,20,726.81,581.45,2025-10-24
Vero Moda,Jeans,Wool,Max Fashion,Spring,3.9,15,2497.26,2122.67,2025-10-24
Zara,Pants,Cotton,Max Fashion,Spring,4.7,10,1498.93,1349.04,2025-10-24
US Polo Assn,Chinos,Denim,Lifestyle,All-Season,3.9,0,2041.45,2041.45,2025-10-24
Roadster,Coat,Leather,Myntra,Spring,3.7,20,4398.58,3518.87,2025-10-24
Breakbounce,Polo,Leather,Ajio,Monsoon,3.8,15,2065.93,1756.04,2025-10-24
W for Woman,Hoodie,Synthetic,Shoppers Stop,All-Season,3.7,30,1185.58,829.9,2025-10-24
Marks & Spencer,Skirt,Leather,Amazon India,Spring,4.6,20,7125.7,5700.56,2025-10-24
Forever New,Shirt,Viscose,Westside,Summer,4.2,0,2250.53,2250.53,2025-10-24
Louis Philippe,Shirt,Leather,Ajio,Monsoon,4.4,30,3985.3,2789.71,2025-10-24
Wrogn,Coat,Blend,Reliance Trends,Spring,3.4,10,2968.05,2671.25,2025-10-24
Nike,Shirt,Silk,Myntra,All-Season,3.8,40,6156.61,3693.97,2025-10-24
Puma,Sweater,Polyester,Lifestyle,Summer,3.7,30,3761.37,2632.96,2025-10-24
Allen Solly,Jacket,Blend,Lifestyle,Summer,4.0,40,6201.9,3721.14,2025-10-24
Louis Philippe,Polo,Synthetic,Westside,Monsoon,4.3,40,2690.21,1614.12,2025-10-24
Nike,Chinos,Blend,Reliance Trends,All-Season,3.7,0,3681.76,3681.76,2025-10-24
W for Woman,Sweater,Wool,Flipkart,All-Season,3.9,30,3246.33,2272.43,2025-10-24
Van Heusen,Jeans,Denim,Ajio,Summer,3.9,10,1463.14,1316.83,2025-10-24
Roadster,Sweater,Synthetic,Lifestyle,All-Season,3.5,30,590.64,413.45,2025-10-24
Levi's,Pants,Viscose,Max Fashion,All-Season,4.0,15,1395.63,1186.29,2025-10-24
Mast & Harbour,Skirt,Viscose,Myntra,Winter,3.8,20,678.35,542.68,2025-10-24
Puma,Hoodie,Leather,Amazon India,Summer,3.8,20,1289.56,1031.65,2025-10-24
Mast & Harbour,T-Shirt,Wool,Flipkart,All-Season,3.7,60,1027.61,411.04,2025-10-24
Tommy Hilfiger,Pants,Leather,Max Fashion,All-Season,4.1,20,5216.18,4172.95,2025-10-24
Adidas,Polo,Silk,Flipkart,Summer,3.9,40,5094.37,3056.62,2025-10-24
Roadster,Jacket,Wool,Westside,Spring,3.8,40,3730.51,2238.31,2025-10-24
Adidas,T-Shirt,Leather,Amazon India,Spring,3.6,20,3047.35,2437.88,2025-10-24
HRX,Hoodie,Cotton,Max Fashion,Summer,3.5,0,759.33,759.33,2025-10-24
Flying Machine,Polo,Cotton,Flipkart,All-Season,3.7,50,764.84,382.42,2025-10-24
Only,Shirt,Denim,Myntra,Spring,3.9,10,1572.55,1415.29,2025-10-24
Van Heusen,Jeans,Leather,Westside,Summer,4.2,25,3697.67,2773.25,2025-10-24
Puma,Pants,Viscose,Myntra,Winter,3.5,25,2561.91,1921.43,2025-10-24
US Polo Assn,Dress,Synthetic,Westside,Monsoon,3.6,40,4344.55,2606.73,2025-10-24
Marks & Spencer,Sweater,Linen,Shoppers Stop,Spring,4.8,25,2954.21,2215.66,2025-10-24
Allen Solly,Sweater,Viscose,Reliance Trends,Winter,4.2,40,1948.47,1169.08,2025-10-24
Roadster,Hoodie,Silk,Ajio,Monsoon,4.1,15,1158.2,984.47,2025-10-24
Allen Solly,Sweater,Linen,Westside,Summer,4.2,15,1221.6,1038.36,2025-10-24
Only,Dress,Wool,Reliance Trends,Spring,4.2,0,1260.3,1260.3,2025-10-24
Athena,Polo,Silk,Shoppers Stop,Spring,3.5,40,1102.31,661.38,2025-10-24
Roadster,Skirt,Synthetic,Ajio,All-Season,3.4,30,911.79,638.25,2025-10-24
Vero Moda,Pants,Leather,Westside,Spring,3.5,15,6446.1,5479.19,2025-10-24
Tommy Hilfiger,Polo,Silk,Amazon India,Winter,4.2,15,5589.74,4751.28,2025-10-24
Allen Solly,Blazer,Silk,Amazon India,Monsoon,4.3,25,7062.19,5296.64,2025-10-24
Only,Jacket,Denim,Myntra,All-Season,4.1,30,2823.86,1976.7,2025-10-24
HRX,Chinos,Synthetic,Reliance Trends,Summer,3.8,50,1121.69,560.85,2025-10-24
Allen Solly,Dress,Viscose,Reliance Trends,Monsoon,4.3,20,2176.47,1741.17,2025-10-24
Puma,Blazer,Blend,Ajio,Monsoon,3.8,25,3087.85,2315.89,2025-10-24
Mast & Harbour,Coat,Linen,Reliance Trends,All-Season,4.0,30,2273.99,1591.79,2025-10-24
W for Woman,Sweater,Wool,Shoppers Stop,All-Season,3.9,30,2822.88,1976.02,2025-10-24
Levi's,Shirt,Silk,Amazon India,Monsoon,4.2,20,2657.8,2126.24,2025-10-24
Flying Machine,Pants,Leather,Amazon India,Winter,4.0,50,2407.54,1203.77,2025-10-24
Raymond,T-Shirt,Blend,Myntra,Monsoon,4.5,30,1395.05,976.54,2025-10-24
Louis Philippe,Pants,Denim,Amazon India,Winter,4.0,25,2152.72,1614.54,2025-10-24
H&M,Jeans,Silk,Shoppers Stop,Monsoon,4.0,40,3320.74,1992.44,2025-10-24
Levi's,Pants,Cotton,Ajio,Spring,4.1,40,2733.77,1640.26,2025-10-24
Roadster,Hoodie,Linen,Ajio,Spring,3.5,25,971.38,728.53,2025-10-24
Being Human,Shirt,Silk,Ajio,Summer,3.8,25,1588.99,1191.74,2025-10-24
H&M,T-Shirt,Synthetic,Flipkart,Monsoon,3.7,10,693.12,623.81,2025-10-24
Peter England,Hoodie,Denim,Lifestyle,Winter,3.4,20,1711.48,1369.18,2025-10-24
Roadster,Coat,Wool,Lifestyle,Spring,3.4,40,4270.14,2562.08,2025-10-24
Calvin Klein,Hoodie,Polyester,Flipkart,Winter,4.6,40,5259.9,3155.94,2025-10-24
Zara,Skirt,Denim,Ajio,Winter,4.3,30,2065.55,1445.88,2025-10-24
Van Heusen,Chinos,Denim,Amazon India,Summer,4.2,0,1910.37,1910.37,2025-10-24
Raymond,Jeans,Synthetic,Flipkart,Spring,4.6,10,2271.56,2044.4,2025-10-24
Flying Machine,Dress,Denim,Shoppers Stop,All-Season,3.5,20,1879.07,1503.25,2025-10-24
Louis Philippe,Jacket,Linen,Amazon India,Monsoon,4.7,20,3722.02,2977.62,2025-10-24
Adidas,Shirt,Linen,Myntra,Monsoon,4.1,20,3912.43,3129.95,2025-10-24
Louis Philippe,Shirt,Synthetic,Reliance Trends,Summer,3.9,30,1998.57,1399.0,2025-10-24
Raymond,Dress,Viscose,Reliance Trends,Winter,4.8,70,9199.18,2759.75,2025-10-24
Tommy Hilfiger,Skirt,Silk,Myntra,Winter,4.6,40,6697.68,4018.61,2025-10-24
HRX,Hoodie,Leather,Reliance Trends,Spring,3.7,50,1667.5,833.75,2025-10-24
Marks & Spencer,Dress,Cotton,Ajio,Summer,4.5,40,4669.99,2801.99,2025-10-24
Zara,Dress,Linen,Amazon India,Monsoon,4.5,60,7782.91,3113.16,2025-10-24
Athena,Skirt,Synthetic,Ajio,Monsoon,3.6,20,441.88,353.5,2025-10-24
Being Human,Pants,Cotton,Shoppers Stop,Winter,3.7,60,3344.51,1337.81,2025-10-24
Forever New,Shirt,Blend,Ajio,Summer,3.7,70,7138.31,2141.49,2025-10-24
W for Woman,Skirt,Synthetic,Myntra,All-Season,4.1,25,1019.06,764.3,2025-10-24
Breakbounce,T-Shirt,Blend,Myntra,Summer,4.0,20,739.22,591.38,2025-10-24
Athena,Coat,Linen,Ajio,Summer,3.4,30,2229.57,1560.7,2025-10-24
US Polo Assn,T-Shirt,Cotton,Westside,All-Season,4.0,25,1100.98,825.74,2025-10-24
Forever New,Sweater,Wool,Max Fashion,Monsoon,3.5,30,4269.99,2989.0,2025-10-24
Flying Machine,Coat,Polyester,Amazon India,Winter,3.6,20,3359.37,2687.49,2025-10-24
Peter England,Sweater,Silk,Myntra,All-Season,3.7,30,2064.96,1445.47,2025-10-24
Raymond,Sweater,Linen,Flipkart,Summer,4.5,25,3199.78,2399.84,2025-10-24
Mast & Harbour,Pants,Polyester,Ajio,All-Season,3.9,10,375.62,338.05,2025-10-24
Forever New,Chinos,Viscose,Myntra,Summer,3.9,0,1191.78,1191.78,2025-10-24
US Polo Assn,Hoodie,Polyester,Myntra,Summer,3.7,30,1218.56,852.99,2025-10-24
AND,T-Shirt,Leather,Reliance Trends,Winter,4.1,0,1216.06,1216.06,2025-10-24
H&M,Sweater,Wool,Amazon India,All-Season,4.1,15,2012.61,1710.72,2025-10-24
Breakbounce,T-Shirt,Viscose,Flipkart,Monsoon,3.8,30,925.64,647.95,2025-10-24
US Polo Assn,Sweater,Leather,Westside,Monsoon,3.9,15,1970.28,1674.74,2025-10-24
HRX,Sweater,Silk,Lifestyle,Spring,3.5,10,2314.33,2082.9,2025-10-24
Puma,Shirt,Blend,Flipkart,Spring,4.2,10,2403.96,2163.56,2025-10-24
W for Woman,Dress,Blend,Amazon India,Spring,3.4,10,1518.79,1366.91,2025-10-24
Wrogn,Polo,Denim,Westside,Winter,3.7,0,560.68,560.68,2025-10-24
Allen Solly,Shirt,Wool,Myntra,All-Season,4.2,0,2665.84,2665.84,2025-10-24
Nike,Skirt,Leather,Myntra,Monsoon,3.9,15,4043.52,3436.99,2025-10-24
Louis Philippe,Coat,Viscose,Shoppers Stop,Summer,4.7,15,4609.07,3917.71,2025-10-24
Flying Machine,Dress,Cotton,Westside,Summer,3.5,10,811.3,730.17,2025-10-24
Vero Moda,Pants,Synthetic,Westside,All-Season,4.0,25,1235.57,926.68,2025-10-24
H&M,Jeans,Polyester,Shoppers Stop,Spring,3.9,30,914.77,640.34,2025-10-24
Zara,Dress,Wool,Westside,Monsoon,4.9,60,11328.81,4531.52,2025-10-24
Levi's,Dress,Linen,Myntra,All-Season,4.6,15,4283.39,3640.88,2025-10-24
W for Woman,T-Shirt,Linen,Reliance Trends,Monsoon,3.6,40,920.68,552.41,2025-10-24
Vero Moda,Dress,Denim,Flipkart,Spring,3.8,25,4557.66,3418.24,2025-10-24
Mast & Harbour,Pants,Silk,Westside,Winter,3.9,40,1138.12,682.87,2025-10-24
Wrogn,Shirt,Cotton,Myntra,Monsoon,3.5,40,1682.14,1009.28,2025-10-24
Levi's,Polo,Silk,Shoppers Stop,Winter,4.3,15,3050.67,2593.07,2025-10-24
Tommy Hilfiger,Jacket,Wool,Flipkart,Spring,4.5,40,19691.7,11815.02,2025-10-24
Marks & Spencer,Polo,Linen,Reliance Trends,All-Season,4.8,40,2265.05,1359.03,2025-10-24
Peter England,Dress,Leather,Shoppers Stop,All-Season,3.6,70,4683.27,1404.98,2025-10-24
Peter England,Pants,Viscose,Reliance Trends,Spring,3.5,25,1758.3,1318.73,2025-10-24
Nike,Chinos,Polyester,Max Fashion,Winter,3.8,15,1539.64,1308.69,2025-10-24
W for Woman,Shirt,Synthetic,Ajio,Spring,4.1,0,1074.23,1074.23,2025-10-24
Wrogn,T-Shirt,Viscose,Flipkart,Summer,4.2,0,251.95,251.95,2025-10-24
HRX,T-Shirt,Silk,Flipkart,Spring,3.4,10,598.61,538.75,2025-10-24
H&M,Blazer,Denim,Reliance Trends,Monsoon,3.9,15,2684.35,2281.7,2025-10-24
Puma,Jeans,Viscose,Flipkart,All-Season,3.4,30,2313.74,1619.62,2025-10-24
Nike,T-Shirt,Viscose,Flipkart,Summer,3.9,20,717.33,573.86,2025-10-24
Puma,Shirt,Silk,Shoppers Stop,Summer,3.6,0,2507.3,2507.3,2025-10-24
Allen Solly,Jacket,Viscose,Westside,Monsoon,4.2,25,3221.33,2416.0,2025-10-24
Mast & Harbour,Sweater,Leather,Myntra,Summer,4.2,15,735.25,624.97,2025-10-24
Van Heusen,Jacket,Blend,Flipkart,Monsoon,4.6,15,2719.75,2311.79,2025-10-24
